,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price_bin,Screen Full HD,Screen IPS Panel
0,0,Acer,4,2,1,5,0.5517241379310345,8,256,1.6,978,14.0,0.726,Low,False,True
1,1,Dell,3,1,1,3,0.6896551724137931,4,256,2.2,634,15.6,0.998,Low,True,False
2,2,Dell,3,1,1,7,0.9310344827586208,8,256,2.2,946,15.6,0.998,Low,True,False
3,3,Dell,4,2,1,5,0.5517241379310345,8,128,1.22,1244,13.3,0.553,Low,False,True
4,4,HP,4,2,1,7,0.6206896551724138,8,256,1.91,837,15.6,0.866,Low,True,False
5,5,Dell,3,1,1,5,0.5517241379310345,8,256,2.2,1016,15.6,0.998,Low,True,False
6,6,HP,3,3,1,5,0.5517241379310345,8,256,2.1,1117,15.6,0.952,Low,True,False
7,7,Acer,3,2,1,5,0.5517241379310345,4,256,2.2,866,15.0,0.998,Low,False,True
8,8,Dell,3,1,1,5,0.8620689655172414,4,256,2.3,812,15.6,1.043,Low,True,False
9,9,Acer,3,3,1,7,0.6206896551724138,8,256,2.2,1068,15.0,0.998,Low,False,True
10,10,Dell,3,1,1,7,0.6206896551724138,8,256,2.13,975,15.6,0.966,Low,True,False
11,11,HP,3,2,1,3,0.6896551724137931,4,128,1.91,558,15.6,0.866,Low,True,False
12,12,Asus,3,2,2,3,0.6896551724137931,4,256,2.0,527,15.6,0.907,Low,True,False
13,13,Dell,4,2,1,5,0.5517241379310345,8,256,1.7,1117,14.0,0.771,Low,True,False
14,14,Asus,3,2,1,5,0.5517241379310345,8,256,1.4,1195,14.0,0.635,Low,True,False
15,15,HP,3,2,1,5,0.8620689655172414,8,256,1.86,876,15.6,0.844,Low,True,False
16,16,Dell,4,1,1,7,0.6206896551724138,8,256,1.4,1213,13.0,0.635,Low,False,True
17,17,Dell,3,1,1,7,0.6206896551724138,8,256,2.2,1105,15.6,0.998,Low,True,False
18,18,Dell,4,2,1,5,0.5517241379310345,8,256,1.88,1392,15.0,0.853,Low,False,True
19,19,HP,3,2,1,5,0.5517241379310345,8,256,1.63,1092,14.0,0.739,Low,True,False
20,20,HP,4,3,1,7,0.6206896551724138,8,256,1.83,888,15.0,0.83,Low,False,True
21,21,HP,3,2,1,5,0.8620689655172414,8,256,1.96,761,15.6,0.889,Low,True,False
22,22,Dell,4,2,1,7,0.6206896551724138,8,256,1.21,2095,13.0,0.549,Medium,False,True
23,23,Dell,1,3,1,5,0.8620689655172414,8,256,2.65,1518,15.6,1.202,Low,True,False
24,24,Asus,4,2,1,7,0.9310344827586208,8,256,1.25,1333,14.0,0.567,Low,True,False
25,25,Dell,3,1,2,3,0.6896551724137931,4,256,2.2,616,15.6,0.998,Low,True,False
26,26,Asus,3,3,1,3,0.8275862068965517,6,256,2.0,733,15.6,0.907,Low,True,False
27,27,HP,3,1,1,7,0.9310344827586208,8,256,1.91,913,15.6,0.866,Low,True,False
28,28,HP,4,3,1,7,0.9310344827586208,8,256,1.38,1421,13.0,0.626,Low,False,True
29,29,HP,3,3,1,5,0.8620689655172414,6,256,1.8622317596566522,837,14.0,0.845,Low,False,True
30,30,Asus,4,3,1,7,0.9310344827586208,8,256,1.3,1515,14.0,0.59,Low,False,True
31,31,Lenovo,3,2,1,7,0.9310344827586208,8,256,1.58,1880,14.0,0.717,Medium,False,True
32,32,Dell,4,2,1,5,0.5517241379310345,8,256,1.21,2069,13.0,0.549,Medium,False,True
33,33,Asus,3,3,1,7,0.6206896551724138,8,256,1.7,1420,15.6,0.771,Low,True,False
34,34,HP,3,2,1,5,0.5517241379310345,8,256,2.5,1179,17.3,1.134,Low,True,False
35,35,Acer,4,2,1,7,0.6206896551724138,8,256,1.6,1123,14.0,0.726,Low,False,True
36,36,Acer,3,3,1,3,0.9310344827586208,4,256,2.2,727,15.6,0.998,Low,True,False
37,37,HP,3,2,1,7,0.6206896551724138,8,256,1.63,1255,14.0,0.739,Low,True,False
38,38,HP,3,2,1,5,0.8620689655172414,4,256,1.8622317596566522,888,13.0,0.845,Low,False,True
39,39,Lenovo,3,1,1,5,0.5517241379310345,8,256,1.75,1418,14.0,0.794,Low,False,True
40,40,Asus,4,2,1,7,0.6206896551724138,8,256,1.25,1396,14.0,0.567,Low,True,False
41,41,HP,4,2,1,5,0.9310344827586208,4,256,1.48,1374,14.0,0.671,Low,True,False
42,42,HP,3,1,1,5,0.5517241379310345,6,256,1.91,786,15.6,0.866,Low,True,False
43,43,Acer,3,3,1,5,0.5517241379310345,4,256,3.0,1023,17.0,1.361,Low,False,True
44,44,Dell,3,1,1,5,0.5517241379310345,8,256,2.13,925,15.6,0.966,Low,True,False
45,45,Lenovo,1,3,1,7,0.9655172413793103,16,256,2.5,1371,15.0,1.134,Low,False,True
46,46,Acer,3,3,1,5,0.5517241379310345,8,256,3.0,1085,17.0,1.361,Low,False,True
47,47,Huawei,4,2,1,5,0.8620689655172414,8,256,1.05,1714,13.0,0.476,Medium,False,True
48,48,HP,3,3,1,5,0.5517241379310345,8,256,2.5,1172,17.3,1.134,Low,True,False
49,49,Dell,4,2,1,5,0.5517241379310345,8,256,1.8622317596566522,1777,13.3,0.845,Medium,True,False
50,50,Acer,4,2,1,5,0.41379310344827586,8,256,1.12,1256,13.0,0.508,Low,False,True
51,51,HP,3,3,1,7,0.6206896551724138,8,256,2.5,1327,17.3,1.134,Low,True,False
52,52,Dell,4,2,1,7,0.6206896551724138,8,256,1.2,1841,13.3,0.544,Medium,True,False
53,53,Dell,4,1,1,7,0.6206896551724138,8,256,1.4,1184,13.0,0.635,Low,False,True
54,54,HP,3,3,1,7,0.6206896551724138,8,256,1.63,1310,14.0,0.739,Low,True,False
55,55,Dell,4,2,1,5,0.5517241379310345,8,256,1.6,1460,14.0,0.726,Low,True,False
56,56,Dell,3,1,2,5,0.5517241379310345,8,256,2.2,860,15.6,0.998,Low,True,False
57,57,Toshiba,4,2,1,7,0.8620689655172414,8,256,1.2,1731,13.3,0.544,Medium,True,False
58,58,Acer,3,3,1,7,0.9310344827586208,8,256,2.2,1057,15.6,0.998,Low,True,False
59,59,Asus,3,3,1,5,0.8620689655172414,8,256,2.0,977,15.6,0.907,Low,True,False
60,60,Dell,3,2,1,5,0.8620689655172414,8,256,1.6,1091,14.0,0.726,Low,True,False
61,61,Dell,3,1,2,7,0.9310344827586208,16,256,1.8622317596566522,1142,15.6,0.845,Low,True,False
62,62,Acer,1,3,1,5,0.8620689655172414,8,256,2.5,1075,15.0,1.134,Low,False,True
63,63,Dell,1,3,1,5,0.8620689655172414,8,256,2.56,1117,15.6,1.161,Low,True,False
64,64,Asus,1,3,1,7,1.0,16,256,3.6,3810,17.3,1.633,High,True,False
65,65,Acer,3,3,1,3,0.9310344827586208,4,256,3.0,892,17.0,1.361,Low,False,True
66,66,Dell,4,2,1,5,0.5517241379310345,8,256,1.41,1206,13.3,0.639,Low,True,False
67,67,Lenovo,3,2,1,7,0.6206896551724138,8,256,2.05,1118,15.6,0.93,Low,True,False
68,68,Dell,3,1,2,7,0.6206896551724138,8,256,1.8622317596566522,934,15.6,0.845,Low,True,False
69,69,Lenovo,1,3,1,5,0.8620689655172414,8,256,2.5,1053,15.0,1.134,Low,False,True
70,70,Lenovo,3,2,1,5,0.8620689655172414,6,256,2.2,735,15.6,0.998,Low,True,False
71,71,Acer,3,3,1,7,0.6206896551724138,8,256,3.0,1208,15.0,1.361,Low,False,True
72,72,Lenovo,3,2,1,7,0.9310344827586208,8,256,1.95,1394,15.0,0.884,Low,False,True
73,73,Asus,4,3,1,5,0.8620689655172414,8,256,1.7,1241,15.6,0.771,Low,True,False
74,74,Dell,3,3,1,7,0.9655172413793103,8,256,2.0,2323,15.6,0.907,Medium,True,False
75,75,Lenovo,3,2,1,5,0.5517241379310345,8,256,2.05,939,15.6,0.93,Low,True,False
76,76,Acer,3,3,2,7,0.9655172413793103,8,256,2.5,1244,15.6,1.134,Low,True,False
77,77,Dell,5,3,1,7,1.0,16,256,3.42,3665,17.3,1.551,High,True,False
78,78,Toshiba,3,3,1,7,0.8620689655172414,8,256,2.2,1325,15.0,0.998,Low,False,True
79,79,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.1,1269,13.0,0.499,Low,False,True
80,80,HP,3,2,1,5,0.8620689655172414,8,256,1.95,1245,14.0,0.884,Low,True,False
81,81,HP,3,2,1,7,0.9310344827586208,8,256,1.48,1641,14.0,0.671,Medium,True,False
82,82,Asus,3,2,1,7,0.9310344827586208,8,256,2.0,1390,14.0,0.907,Low,True,False
83,83,Asus,4,3,1,7,0.9310344827586208,8,256,1.7,1334,15.6,0.771,Low,True,False
84,84,HP,4,2,1,7,0.9310344827586208,8,256,1.26,1696,12.5,0.571,Medium,True,False
85,85,Toshiba,3,2,1,5,0.8620689655172414,8,256,2.0,1198,15.0,0.907,Low,False,True
86,86,Asus,1,3,1,7,0.9655172413793103,8,256,2.5,1269,15.6,1.134,Low,True,False
87,87,HP,3,2,1,5,0.896551724137931,8,256,1.48,1611,14.0,0.671,Low,True,False
88,88,HP,3,2,1,5,0.8620689655172414,8,256,1.84,1453,15.6,0.834,Low,True,False
89,89,Dell,3,3,1,5,0.5517241379310345,8,256,2.0,1452,15.6,0.907,Low,True,False
90,90,Dell,4,2,1,7,0.6206896551724138,8,256,1.2,2006,13.3,0.544,Medium,True,False
91,91,HP,3,2,1,7,0.9310344827586208,8,256,1.84,1656,15.6,0.834,Medium,True,False
92,92,HP,5,3,1,7,0.9655172413793103,8,256,2.6,2208,15.6,1.179,Medium,True,False
93,93,Dell,3,2,1,5,0.896551724137931,8,256,1.36,1813,14.0,0.617,Medium,True,False
94,94,Asus,3,2,1,5,0.8620689655172414,8,256,2.0,1200,14.0,0.907,Low,True,False
95,95,Dell,3,1,1,7,0.9310344827586208,8,256,2.33,1142,15.6,1.057,Low,True,False
96,96,HP,4,2,1,7,0.9310344827586208,8,256,1.36,2223,14.0,0.617,Medium,False,True
97,97,Lenovo,3,3,1,5,0.8620689655172414,8,256,1.5,1396,14.0,0.68,Low,False,True
98,98,Lenovo,3,2,1,3,0.8275862068965517,4,128,1.5,697,13.0,0.68,Low,False,True
99,99,Dell,5,3,1,7,0.9310344827586208,8,256,2.0,2712,15.0,0.907,Medium,False,True
100,100,MSI,1,3,1,7,0.9655172413793103,8,256,2.7,1714,17.3,1.224,Medium,True,False
101,101,Dell,3,1,2,7,0.9310344827586208,8,256,2.33,989,15.6,1.057,Low,True,False
102,102,Lenovo,3,1,1,7,0.6206896551724138,8,256,2.1,1562,15.0,0.952,Low,False,True
103,103,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.9,1192,14.0,0.862,Low,False,True
104,104,Acer,3,3,2,7,0.9655172413793103,8,256,2.5,1117,15.6,1.134,Low,True,False
105,105,Dell,3,1,2,5,0.8620689655172414,4,256,2.3,761,15.6,1.043,Low,True,False
106,106,HP,4,2,1,7,0.8620689655172414,8,256,1.43,1905,14.0,0.649,Medium,True,False
107,107,Lenovo,4,1,1,7,0.6206896551724138,8,256,1.75,1544,14.0,0.794,Low,False,True
108,108,HP,3,2,1,7,1.0,8,256,2.31,1813,15.6,1.048,Medium,True,False
109,109,Dell,4,2,2,7,0.9655172413793103,8,256,1.6,1396,14.0,0.726,Low,True,False
110,110,Lenovo,3,2,1,7,0.9310344827586208,8,256,1.4,1283,13.0,0.635,Low,False,True
111,111,Lenovo,3,2,1,3,0.9310344827586208,4,128,1.7,761,14.0,0.771,Low,False,True
112,112,Asus,3,2,2,5,0.8620689655172414,4,256,2.0,710,15.6,0.907,Low,True,False
113,113,Dell,3,1,1,5,0.5517241379310345,4,256,2.2,951,15.6,0.998,Low,True,False
114,114,Lenovo,4,2,1,5,0.8620689655172414,8,256,1.36,1815,12.0,0.617,Medium,False,True
115,115,Dell,3,3,1,5,0.9655172413793103,8,256,1.64,1498,14.0,0.744,Low,True,False
116,116,MSI,1,3,1,5,0.8620689655172414,8,256,2.2,1306,15.6,0.998,Low,True,False
117,117,Dell,5,3,1,7,0.9310344827586208,16,256,2.17,2509,15.0,0.984,Medium,False,True
118,118,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.65,1709,14.0,0.748,Medium,True,False
119,119,Lenovo,3,3,1,7,1.0,8,256,2.67,2655,15.6,1.211,Medium,True,False
120,120,Dell,4,2,1,5,0.5517241379310345,8,256,1.42,2340,15.6,0.644,Medium,True,False
121,121,Dell,5,3,1,7,0.9655172413793103,8,256,1.78,3059,15.6,0.807,High,True,False
122,122,Toshiba,3,2,1,5,0.8620689655172414,8,256,1.05,2124,13.0,0.476,Medium,False,True
123,123,HP,3,2,1,5,0.5517241379310345,4,128,1.49,922,13.0,0.676,Low,False,True
124,124,Lenovo,3,2,1,5,0.5517241379310345,8,256,1.75,1333,14.0,0.794,Low,False,True
125,125,Lenovo,3,3,1,5,0.8620689655172414,8,256,2.3,1286,15.0,1.043,Low,False,True
126,126,Lenovo,3,2,1,7,0.6206896551724138,8,256,2.17,1142,15.6,0.984,Low,True,False
127,127,Lenovo,3,2,1,3,0.8275862068965517,8,256,1.4,1206,13.0,0.635,Low,False,True
128,128,Lenovo,3,2,1,5,0.8620689655172414,8,256,2.3,1157,15.0,1.043,Low,False,True
129,129,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.44,1206,13.3,0.653,Low,True,False
130,130,Dell,4,2,1,5,0.8620689655172414,8,128,1.29,1142,13.3,0.585,Low,False,True
131,131,HP,3,3,1,5,0.8620689655172414,8,256,2.04,1129,15.6,0.925,Low,True,False
132,132,HP,4,2,1,7,0.9310344827586208,8,256,1.32,1777,13.0,0.599,Medium,False,True
133,133,Dell,3,2,1,5,0.896551724137931,8,256,1.64,1626,14.0,0.744,Medium,True,False
134,134,Lenovo,3,2,1,5,0.793103448275862,8,256,2.02,1702,14.0,0.916,Medium,True,False
135,135,Dell,3,2,1,5,0.9655172413793103,8,256,1.9,1749,15.6,0.862,Medium,True,False
136,136,Dell,3,3,1,7,0.9655172413793103,8,256,1.93,1739,15.6,0.875,Medium,True,False
137,137,Dell,3,1,1,5,0.5517241379310345,8,256,2.2,1013,15.6,0.998,Low,True,False
138,138,Lenovo,3,3,1,7,0.9310344827586208,8,256,1.87,1091,14.0,0.848,Low,False,True
139,139,Dell,3,2,1,3,0.6896551724137931,4,128,1.6,935,14.0,0.726,Low,True,False
140,140,HP,3,2,1,3,0.8275862068965517,4,128,2.1,896,15.6,0.952,Low,True,False
141,141,Lenovo,3,2,1,3,0.6896551724137931,4,128,2.2,634,15.6,0.998,Low,True,False
142,142,Dell,3,2,1,5,0.8620689655172414,8,256,1.9,1419,15.6,0.862,Low,True,False
143,143,Lenovo,3,2,1,3,0.9310344827586208,4,128,2.05,800,15.6,0.93,Low,True,False
144,144,Lenovo,3,3,1,7,0.9655172413793103,8,256,3.4,3810,17.0,1.542,High,False,True
145,145,Lenovo,3,2,1,5,0.8620689655172414,8,256,2.3,1054,15.6,1.043,Low,True,False
146,146,Dell,3,1,2,7,0.9310344827586208,8,256,2.2,951,15.6,0.998,Low,True,False
147,147,HP,3,2,1,3,0.8275862068965517,4,128,1.49,913,13.3,0.676,Low,True,False
148,148,Dell,3,3,1,7,0.9655172413793103,16,256,1.93,1953,15.6,0.875,Medium,True,False
149,149,Lenovo,4,2,1,7,0.896551724137931,12,256,1.4,2125,14.0,0.635,Medium,False,True
150,150,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.7,1872,14.0,0.771,Medium,False,True
151,151,Dell,5,3,1,7,0.9655172413793103,8,256,2.06,2240,15.6,0.934,Medium,True,False
152,152,HP,3,2,1,7,0.9310344827586208,8,256,1.84,1548,15.6,0.834,Low,True,False
153,153,Toshiba,3,2,1,7,0.8620689655172414,8,256,2.2,1777,15.0,0.998,Medium,False,True
154,154,Dell,3,1,2,5,0.8620689655172414,4,128,2.18,723,15.6,0.989,Low,True,False
155,155,Lenovo,3,2,1,5,0.793103448275862,8,256,1.65,1861,14.0,0.748,Medium,True,False
156,156,Dell,3,3,1,7,0.9655172413793103,8,256,2.0,2312,15.6,0.907,Medium,True,False
157,157,Lenovo,3,2,1,5,0.5517241379310345,4,256,1.8,1053,15.6,0.816,Low,True,False
158,158,Acer,4,2,1,5,0.8620689655172414,8,256,1.8,1167,14.0,0.816,Low,False,True
159,159,Razer,1,3,1,7,0.9655172413793103,16,256,1.95,3301,14.0,0.884,High,True,False
160,160,Toshiba,3,2,1,5,0.793103448275862,8,256,1.2,1541,13.3,0.544,Low,True,False
161,161,Lenovo,4,2,1,7,0.9310344827586208,8,256,1.36,2012,12.0,0.617,Medium,False,True
162,162,Dell,4,2,1,5,0.5517241379310345,8,256,1.2,1842,13.3,0.544,Medium,True,False
163,163,Dell,3,1,1,7,0.6206896551724138,8,256,2.2,1167,15.6,0.998,Low,True,False
164,164,Dell,3,2,1,5,0.8275862068965517,8,256,1.56,1561,14.0,0.707,Low,True,False
165,165,Toshiba,3,2,1,5,0.8620689655172414,8,256,2.0,1598,15.0,0.907,Low,False,True
166,166,Asus,4,2,1,5,0.8620689655172414,8,256,1.1,1442,14.0,0.499,Low,True,False
167,167,Acer,1,3,1,5,0.8620689655172414,16,256,2.5,1650,15.6,1.134,Medium,True,False
168,168,MSI,1,3,1,5,0.8620689655172414,8,256,2.2,1268,15.6,0.998,Low,True,False
169,169,HP,3,1,1,3,0.6896551724137931,4,256,2.5,888,17.0,1.134,Low,False,True
170,170,Lenovo,3,2,1,5,0.8620689655172414,4,256,1.7,888,14.0,0.771,Low,True,False
171,171,Toshiba,3,2,1,5,0.8620689655172414,8,256,1.5,1236,13.0,0.68,Low,False,True
172,172,Dell,3,2,1,5,0.8620689655172414,8,256,2.18,1010,15.6,0.989,Low,True,False
173,173,Lenovo,3,2,1,5,0.793103448275862,8,256,1.8,1513,14.0,0.816,Low,True,False
174,174,Dell,3,3,2,5,0.9655172413793103,8,256,1.64,1383,14.0,0.744,Low,True,False
175,175,Lenovo,3,3,1,5,0.8620689655172414,8,256,1.87,1089,14.0,0.848,Low,False,True
176,176,Dell,3,2,1,5,0.896551724137931,8,256,1.9,1498,15.6,0.862,Low,True,False
177,177,HP,3,3,1,7,0.9310344827586208,8,256,2.63,1524,17.3,1.193,Low,True,False
178,178,Lenovo,4,2,1,5,0.8620689655172414,8,256,1.32,1904,14.0,0.599,Medium,False,True
179,179,Lenovo,3,2,1,5,0.8620689655172414,8,256,1.44,1219,13.0,0.653,Low,False,True
180,180,HP,5,3,1,7,0.9655172413793103,16,256,2.6,3073,15.6,1.179,High,True,False
181,181,Toshiba,3,2,1,5,0.8620689655172414,8,256,1.25,1950,14.0,0.567,Medium,False,True
182,182,Samsung,4,2,1,7,0.9310344827586208,16,256,0.81,2095,13.3,0.367,Medium,True,False
183,183,HP,3,2,1,3,0.6896551724137931,8,256,1.86,685,15.6,0.844,Low,True,False
184,184,HP,3,2,1,5,0.8275862068965517,8,256,1.84,2414,15.6,0.834,Medium,True,False
